StartDate;EndDate;Status;IPAddress;Progress;Duration (in seconds);Finished;RecordedDate;ResponseId;RecipientLastName;RecipientFirstName;RecipientEmail;ExternalReference;LocationLatitude;LocationLongitude;DistributionChannel;UserLanguage;Q1_1;Q1_2;Q1_3;Q1_4;Q1_5;Q1_6;Q1_7;Q1_8;Q2_1;Q2_2;Q2_3;Q2_4;Q2_5;Q2_6;Q2_7;Q2_8;Q3_1;Q3_2;Q3_3;Q3_4;Q3_5;Q3_6;Q3_7;Q3_8;Q4_1;Q4_2;Q4_3;Q4_4;Q4_5;Q4_6;Q4_7;Q4_8;Q5_1;Q5_2;Q5_3;Q5_4;Q5_5;Q5_6;Q5_7;Q5_8
2025-05-28 12:00:53;2025-05-28 12:18:01;IP Address;41.66.99.121;100;1027;TRUE;2025-05-28 12:18:01;R_8IkpM6cQP8JYDu1;;;;;48.2169;16.4997;anonymous;EN;8;4;6;3;5;7;1;2;6;7;1;2;3;4;5;8;5;1;4;3;5;2;7;6;3;6;1;2;4;8;7;5;6;4;1;5;8;7;3;2
2025-05-28 14:08:58;2025-05-28 14:12:40;IP Address;213.225.7.197;100;221;TRUE;2025-05-28 14:12:41;R_80PeBi3Uw8wZ5LK;;;;;48.1982;16.3917;anonymous;EN;7;4;6;1;5;8;2;3;7;1;5;3;8;6;4;2;6;2;5;1;7;4;3;8;7;8;5;2;3;6;4;1;4;2;3;5;1;8;6;7
2025-05-28 14:10:40;2025-05-28 14:19:05;IP Address;213.142.96.179;100;505;TRUE;2025-05-28 14:19:06;R_8K2tV4DclriZjYq;;;;;48.1982;16.3917;anonymous;EN;1;4;2;7;3;8;5;6;3;4;5;6;2;8;7;1;7;4;2;1;5;3;6;8;6;4;2;1;7;3;8;5;7;6;1;2;8;5;3;4
2025-05-28 14:15:38;2025-05-28 14:21:27;IP Address;213.229.5.170;100;348;TRUE;2025-05-28 14:21:27;R_2OlTW9FdTwWG5af;;;;;48.2031;16.3527;anonymous;EN;1;5;2;3;6;7;4;8;6;7;1;2;8;3;4;5;7;2;3;1;4;5;8;6;1;5;2;7;3;6;8;4;6;8;2;1;7;3;4;5
2025-05-28 15:09:57;2025-05-28 15:13:06;IP Address;91.108.243.193;100;188;TRUE;2025-05-28 15:13:06;R_2agG42X1gMaJzr6;;;;;50.4777;12.3649;anonymous;EN;1;4;2;5;8;7;6;3;3;4;5;6;1;7;2;8;;;;;;;;;3;4;5;6;1;8;7;2;8;2;1;3;4;5;6;7
2025-05-28 15:25:18;2025-05-28 15:32:02;IP Address;84.115.233.243;100;403;TRUE;2025-05-28 15:32:02;R_263NowhFUrCG31n;;;;;48.1535;16.3855;anonymous;EN;3;1;7;2;4;8;5;6;1;2;7;5;6;3;4;8;2;3;1;6;5;4;7;8;1;4;3;7;2;8;5;6;3;7;2;1;6;8;4;5
2025-05-28 15:34:14;2025-05-28 15:38:50;IP Address;137.208.76.71;100;275;TRUE;2025-05-28 15:38:50;R_2qqMBeWsvgrHNJa;;;;;48.2202;16.3529;anonymous;EN;7;1;3;4;2;8;5;6;1;2;3;4;7;5;6;8;1;2;7;3;8;4;6;5;;;;;;;;;;;;;;;;
2025-05-28 15:37:57;2025-05-28 15:45:33;IP Address;213.147.164.253;100;456;TRUE;2025-05-28 15:45:33;R_2U2gNjhcnukCSvD;;;;;48.301;16.3448;anonymous;EN;4;2;1;6;3;8;7;5;5;4;2;6;3;1;7;8;5;2;6;4;1;3;7;8;1;7;6;2;3;8;4;5;5;3;7;4;8;6;2;1
2025-05-28 15:40:23;2025-05-28 15:49:31;IP Address;84.115.225.97;100;547;TRUE;2025-05-28 15:49:31;R_2TRwLKZ6122uWmB;;;;;48.1982;16.3917;anonymous;EN;4;7;3;1;2;6;8;5;4;8;7;1;6;2;3;5;5;3;4;6;2;1;7;8;8;4;1;6;5;3;7;2;2;6;7;4;1;3;5;8
2025-05-28 19:54:26;2025-05-28 19:57:40;IP Address;151.44.84.74;100;194;TRUE;2025-05-28 19:57:41;R_8ni79u0ZeoF2veN;;;;;45.4722;9.1922;anonymous;EN;8;5;2;3;6;4;7;1;3;2;5;4;8;6;7;1;5;6;4;3;2;1;7;8;4;1;6;2;7;8;3;5;1;8;5;6;4;7;2;3
2025-06-01 20:55:51;2025-06-01 20:59:51;IP Address;41.66.98.66;100;239;TRUE;2025-06-01 20:59:51;R_8IXA8w6mUbbFbqH;;;;;48.2169;16.4997;anonymous;EN;7;5;2;4;6;8;1;3;2;8;3;4;5;6;7;1;1;2;3;4;5;6;8;7;;;;;;;;;4;8;7;5;6;3;1;2
2025-06-02 16:07:09;2025-06-02 16:14:00;IP Address;62.218.178.98;100;411;TRUE;2025-06-02 16:14:01;R_2mdDLzDmhsrnqk6;;;;;48.1712;16.321;anonymous;EN;5;2;3;1;7;8;6;4;7;2;1;5;8;3;4;6;3;2;7;5;1;4;6;8;3;5;4;6;2;8;7;1;5;1;2;4;6;7;8;3
2025-06-02 16:34:05;2025-06-02 16:36:41;IP Address;212.95.5.21;100;155;TRUE;2025-06-02 16:36:42;R_8ifG7oXO44m7SoW;;;;;48.2169;16.4997;anonymous;EN;1;2;6;4;8;3;5;7;3;8;5;6;1;2;7;4;7;2;1;3;4;5;6;8;1;2;3;7;6;8;5;4;2;4;3;7;6;5;8;1
2025-06-02 16:33:47;2025-06-02 16:37:38;IP Address;46.16.131.63;100;231;TRUE;2025-06-02 16:37:39;R_2C1IjlhspoBtFs2;;;;;53.3382;-6.2591;anonymous;EN;7;4;3;1;5;6;2;8;6;7;3;4;2;1;5;8;3;1;4;2;5;6;8;7;1;2;3;4;7;5;8;6;3;8;2;4;6;7;5;1
2025-06-02 16:35:23;2025-06-02 16:39:41;IP Address;31.12.6.202;100;257;TRUE;2025-06-02 16:39:41;R_2auhddFicfFQL7j;;;;;48.2324;16.3518;anonymous;EN;8;3;5;1;4;6;2;7;7;6;4;1;8;3;2;5;5;2;7;1;3;4;6;8;1;3;4;2;6;5;7;8;5;3;1;6;7;8;4;2
2025-06-02 16:37:23;2025-06-02 16:45:45;IP Address;85.223.42.104;100;501;TRUE;2025-06-02 16:45:46;R_8LLpkYYtWGL2LEI;;;;;52.3907;4.8637;anonymous;EN;7;1;6;2;3;8;5;4;7;1;2;3;8;5;6;4;4;2;6;3;8;5;1;7;1;8;5;2;4;7;6;3;8;4;2;5;7;6;3;1
2025-06-02 16:40:54;2025-06-02 16:48:01;IP Address;178.115.38.83;100;426;TRUE;2025-06-02 16:48:01;R_8DTjtlja2vnaa6R;;;;;48.2169;16.4997;anonymous;EN;3;4;8;1;5;7;6;2;5;6;1;2;7;3;4;8;3;2;7;6;1;5;8;4;3;6;5;4;2;8;7;1;4;8;1;3;6;7;5;2
2025-06-02 16:38:00;2025-06-02 16:48:22;IP Address;84.89.157.38;100;621;TRUE;2025-06-02 16:48:22;R_2laYvJFqX9veMb8;;;;;41.3891;2.1606;anonymous;EN;7;2;1;3;4;8;6;5;6;1;7;8;4;2;5;3;7;3;4;2;5;1;6;8;3;2;1;4;6;7;8;5;5;6;2;1;8;7;3;4
2025-06-02 16:41:06;2025-06-02 16:48:27;IP Address;84.89.157.40;100;441;TRUE;2025-06-02 16:48:28;R_8F4UYeWAfNVj03v;;;;;41.3891;2.1606;anonymous;EN;7;3;4;2;6;8;1;5;4;5;1;7;8;3;6;2;7;4;5;2;3;1;6;8;2;4;3;1;5;8;7;6;7;1;2;3;8;4;5;6
2025-06-02 16:47:41;2025-06-02 16:48:45;IP Address;91.118.195.58;100;63;TRUE;2025-06-02 16:48:46;R_8sS5sav9PoEpM7D;;;;;48.1933;16.3727;anonymous;EN;4;2;3;1;6;8;7;5;5;7;4;1;8;6;2;3;8;1;7;4;5;2;6;3;5;8;3;2;6;4;1;7;7;4;1;6;8;2;5;3
