StartDate;EndDate;Status;IPAddress;Progress;Duration (in seconds);Finished;RecordedDate;ResponseId;RecipientLastName;RecipientFirstName;RecipientEmail;ExternalReference;LocationLatitude;LocationLongitude;DistributionChannel;UserLanguage;S1_Q1: Select;S1_Q2;S2_Q3;S2_Q4;S3_Q5;S3_Q6;S4_Q7;S4_Q8;S5_Q9;S5_Q10;Context Q1;Age;Job;Residence;Education;Profession;Media
2025-06-10 08:29:04;2025-06-10 08:33:55;IP Address;78.104.160.44;100;290;TRUE;2025-06-10 08:33:56;R_8OxxnZkrOigcILv;;;;;48.2202;16.3529;anonymous;EN;Image 2,Image 4;Image 5,Image 6;Image 3,Image 6;image 3;Image 5;Image 2;Image 1,Image 2;Image 1,Image 5;Image 1,Image 3;Image 6;Feature 2 (Official watermarks, e.g. police stamps, magazine/journals watermarks),Feature 3 (Date and time stamps);23;Analyst;Austria;Bachelor’s degree;Digital Economy;Instagram,Youtube,Telegram
2025-06-10 08:32:08;2025-06-10 08:39:11;IP Address;193.83.133.139;100;422;TRUE;2025-06-10 08:39:11;R_8rwf0Q4rRprUbV7;;;;;48.2169;16.4997;anonymous;EN;Image 4,Image 5;Image 6;Image 1;Image 4;Image 2,Image 3;Image 3,Image 5;Image 1,Image 2;Image 1,Image 5;Image 1,Image 3,Image 5;Image 3,Image 6;Feature 1 (News bars),Feature 5 (Highlighted circle with zoomed-in detail);23;Student ;Austria ;Master’s degree;Digital Economy ;Instagram,Telegram
2025-06-10 08:32:47;2025-06-10 08:42:22;IP Address;193.243.189.97;100;574;TRUE;2025-06-10 08:42:22;R_2qylmE6AHhccL3B;;;;;52.352;4.9392;anonymous;EN;Image 1,Image 3,Image 4;Image 3;Image 1,Image 3,Image 4;Image 6;Image 5,Image 6;Image 5,Image 6;Image 4,Image 5;Image 1,Image 2,Image 5;Image 1,Image 2,Image 3;Image 1,Image 4,Image 6;Feature 3 (Date and time stamps),Feature 4 (Simple outline),Feature 5 (Highlighted circle with zoomed-in detail);20;student;Russia;Bachelor’s degree;advertising and public relations;Twitter/X,Instagram,TikTok,Telegram
2025-06-10 08:47:16;2025-06-10 08:57:30;IP Address;62.93.165.119;100;613;TRUE;2025-06-10 08:57:30;R_5gGQhJS5jqTt2y8;;;;;50.0883;14.4124;anonymous;EN;Image 1,Image 4,Image 5;Image 2,Image 3;Image 2,Image 3;Image 1,image 5;Image 1,Image 6;Image 2,Image 3;Image 4,Image 5,Image 6;Image 3,Image 4;Image 4;Image 3,Image 5;Feature 4 (Simple outline);39;It;Austria;Master’s degree;It;Podcasts,Youtube,Telegram
2025-06-10 08:41:51;2025-06-10 08:58:12;IP Address;87.120.86.161;100;981;TRUE;2025-06-10 08:58:13;R_2mZqOMUmY8ppQgp;;;;;41.8905;12.5127;anonymous;EN;Image 2,Image 6;Image 3,Image 4;Image 3;image 3,image 5;Image 2,Image 3,Image 6;Image 2,Image 3;Image 4,Image 6;Image 3,Image 4;Image 1,Image 6;Image 3,Image 6;Feature 4 (Simple outline);;;;Master’s degree;Student ;Instagram,TikTok,Telegram
2025-06-10 09:53:21;2025-06-10 09:54:54;IP Address;80.85.241.77;100;92;TRUE;2025-06-10 09:54:54;R_8KvggnOdx70cOsv;;;;;60.1719;24.9347;anonymous;EN;Image 2,Image 5;Image 1,Image 6;Image 2;Image 4;Image 1;Image 5;Image 1;Image 4;Image 4;Image 3;Feature 1 (News bars);24;Russia;Moscow;Bachelor’s degree;PR;Podcasts,Instagram,Youtube,Telegram
2025-06-10 10:13:56;2025-06-10 10:20:40;IP Address;67.220.75.129;100;404;TRUE;2025-06-10 10:20:41;R_8zY14Nb09Lfa6No;;;;;50.1169;8.6837;anonymous;EN;Image 2,Image 5;Image 3,Image 4,Image 5;;Image 1,image 5;Image 1,Image 3,Image 5;Image 2;Image 5,Image 6;Image 3,Image 4;;Image 4,Image 6;Feature 1 (News bars);18;Student;Russia;High school diploma or equivalent;Linguistics ;Youtube,Telegram
2025-06-10 10:21:16;2025-06-10 10:34:58;IP Address;212.111.88.163;100;822;TRUE;2025-06-10 10:34:59;R_2i4JaHRDYuPYwJB;;;;;52.3759;4.8975;anonymous;EN;Image 1,Image 4;Image 5,Image 6;Image 1,Image 5;Image 1,image 5;Image 1,Image 5,Image 6;Image 3,Image 5;Image 4,Image 5;Image 1,Image 3,Image 4;Image 1,Image 3,Image 4;Image 2,Image 3;Feature 1 (News bars),Feature 5 (Highlighted circle with zoomed-in detail);;;;High school diploma or equivalent;economics;TikTok,Telegram
2025-06-10 10:48:47;2025-06-10 10:56:42;IP Address;146.70.48.133;100;475;TRUE;2025-06-10 10:56:43;R_2ilRyYEORUDFegh;;;;;53.323;-6.3159;anonymous;EN;Image 2,Image 3,Image 6;Image 2,Image 6;Image 2,Image 3;Image 1,image 5;Image 3,Image 4;Image 3,Image 4,Image 5;Image 2,Image 4,Image 6;Image 3,Image 4,Image 5;Image 1,Image 4;Image 1,Image 3,Image 4;Feature 1 (News bars),Feature 3 (Date and time stamps);23;Finance manager ;Russia;Bachelor’s degree;Finance ;Instagram,Youtube,Telegram
2025-06-10 11:12:35;2025-06-10 11:19:52;IP Address;78.47.201.116;100;437;TRUE;2025-06-10 11:19:53;R_2jcBNyLmFG3wdTL;;;;;50.4777;12.3649;anonymous;EN;Image 2;Image 3;Image 3,Image 4;Image 1,image 5;Image 1;Image 2;Image 1,Image 4,Image 6;Image 1,Image 4;Image 4,Image 6;Image 5;Feature 3 (Date and time stamps),Feature 5 (Highlighted circle with zoomed-in detail);22;Student;Russia;Bachelor’s degree;Psychology ;Newspaper/Online Articles,Instagram,Youtube,Telegram
